timestamp,server_id,cpu_used,q_len,network_in,network_out
139,Server 2,55,1,15,6
140,Server 0,48,1,15,9
140,Server 1,54,1,8,12
140,Server 2,55,1,15,6
141,Server 0,48,1,15,9
141,Server 1,54,1,8,12
141,Server 2,55,1,15,6
142,Server 0,48,1,15,9
142,Server 1,54,1,8,12
142,Server 2,55,1,15,6
143,Server 0,48,1,15,9
143,Server 1,54,1,8,12
143,Server 2,55,1,15,6
144,Server 0,90,1,6,11
144,Server 1,54,1,8,12
144,Server 2,55,1,15,6
145,Server 0,90,1,6,11
145,Server 1,40,1,9,9
145,Server 2,55,1,15,6
146,Server 0,90,1,6,11
146,Server 1,40,1,9,9
146,Server 2,90,1,8,8
147,Server 0,90,1,6,11
147,Server 1,40,1,9,9
147,Server 2,90,1,8,8
148,Server 0,90,1,6,11
148,Server 1,40,1,9,9
148,Server 2,90,1,8,8
149,Server 0,51,1,14,14
149,Server 1,40,1,9,9
149,Server 2,90,1,8,8
150,Server 0,51,1,14,14
150,Server 1,40,1,9,9
150,Server 2,90,1,8,8
151,Server 0,51,1,14,14
151,Server 1,40,1,9,9
151,Server 2,72,1,6,11
152,Server 0,51,1,14,14
152,Server 1,40,1,9,9
152,Server 2,72,1,6,11
153,Server 0,51,1,14,14
153,Server 1,47,1,12,7
153,Server 2,72,1,6,11
154,Server 0,51,1,14,14
154,Server 1,47,1,12,7
154,Server 2,72,1,6,11
155,Server 0,51,1,14,14
155,Server 1,47,1,12,7
155,Server 2,72,1,6,11
156,Server 0,51,1,14,14
156,Server 1,47,1,12,7
156,Server 2,72,1,6,11
157,Server 0,51,1,14,14
157,Server 1,47,1,12,7
157,Server 2,72,1,6,11
158,Server 0,86,1,13,11
158,Server 1,47,1,12,7
158,Server 2,72,1,6,11
159,Server 0,86,1,13,11
159,Server 1,47,1,12,7
159,Server 2,72,1,6,11
160,Server 0,86,1,13,11
160,Server 1,47,1,12,7
160,Server 2,72,1,6,11
161,Server 0,86,1,13,11
161,Server 1,47,1,12,7
161,Server 2,72,1,6,11
162,Server 0,86,1,13,11
162,Server 1,47,1,12,7
162,Server 2,72,1,6,11
163,Server 0,86,1,13,11
163,Server 1,47,1,12,7
163,Server 2,72,1,6,11
164,Server 0,86,1,13,11
164,Server 1,47,1,12,7
164,Server 2,72,1,6,11
165,Server 0,86,1,13,11
165,Server 1,61,1,10,13
165,Server 2,77,1,14,15
166,Server 0,86,1,13,11
166,Server 1,61,1,10,13
166,Server 2,77,1,14,15
167,Server 0,86,1,13,11
167,Server 1,61,1,10,13
167,Server 2,77,1,14,15
168,Server 0,86,1,13,11
168,Server 1,61,1,10,13
168,Server 2,77,1,14,15
169,Server 0,86,1,13,11
169,Server 1,61,1,10,13
169,Server 2,77,1,14,15
170,Server 0,86,1,13,11
170,Server 1,61,1,10,13
170,Server 2,77,1,14,15
171,Server 0,62,1,9,11
171,Server 1,82,1,6,14
171,Server 2,77,1,14,15
172,Server 0,62,1,9,11
172,Server 1,82,1,6,14
172,Server 2,77,1,14,15
173,Server 0,62,1,9,11
173,Server 1,82,1,6,14
173,Server 2,77,1,14,15
174,Server 0,62,1,9,11
174,Server 1,82,1,6,14
174,Server 2,77,1,14,15
175,Server 0,62,1,9,11
175,Server 1,82,1,6,14
175,Server 2,41,1,14,11
176,Server 0,62,1,9,11
176,Server 1,82,1,6,14
176,Server 2,41,1,14,11
177,Server 0,62,1,9,11
177,Server 1,82,1,6,14
177,Server 2,41,1,14,11
178,Server 0,62,1,9,11
178,Server 1,82,1,6,14
178,Server 2,41,1,14,11
179,Server 0,62,1,9,11
179,Server 1,78,1,6,14
179,Server 2,41,1,14,11
180,Server 0,62,1,9,11
180,Server 1,78,1,6,14
180,Server 2,41,1,14,11
181,Server 0,62,1,9,11
181,Server 1,78,1,6,14
181,Server 2,41,1,14,11
182,Server 0,61,1,5,11
182,Server 1,78,1,6,14
182,Server 2,41,1,14,11
183,Server 0,61,1,5,11
183,Server 1,78,1,6,14
183,Server 2,41,1,14,11
184,Server 0,61,1,5,11
184,Server 1,71,1,10,7
184,Server 2,41,1,14,11
185,Server 0,61,1,5,11
185,Server 1,71,1,10,7
185,Server 2,41,1,14,11
186,Server 0,61,1,5,11
186,Server 1,71,1,10,7
186,Server 2,41,1,14,11
187,Server 0,61,1,5,11
187,Server 1,71,1,10,7
187,Server 2,64,1,11,8
188,Server 0,61,1,5,11
188,Server 1,71,1,10,7
188,Server 2,64,1,11,8
189,Server 0,61,1,5,11
189,Server 1,71,1,10,7
189,Server 2,64,1,11,8
190,Server 0,61,1,5,11
190,Server 1,71,1,10,7
190,Server 2,64,1,11,8
191,Server 0,61,1,5,11
191,Server 1,71,1,10,7
191,Server 2,64,1,11,8
192,Server 0,61,1,5,11
192,Server 1,71,1,10,7
192,Server 2,64,1,11,8
193,Server 0,61,1,5,11
193,Server 1,71,1,10,7
193,Server 2,56,1,10,9
194,Server 0,76,1,14,15
194,Server 1,71,1,10,7
194,Server 2,56,1,10,9
195,Server 0,76,1,14,15
195,Server 1,71,1,10,7
195,Server 2,56,1,10,9
196,Server 0,76,1,14,15
196,Server 1,55,1,9,15
196,Server 2,56,1,10,9
197,Server 0,76,1,14,15
197,Server 1,55,1,9,15
197,Server 2,56,1,10,9
198,Server 0,76,1,14,15
198,Server 1,55,1,9,15
198,Server 2,56,1,10,9
199,Server 0,76,1,14,15
199,Server 1,55,1,9,15
199,Server 2,56,1,10,9
200,Server 0,76,1,14,15
200,Server 1,55,1,9,15
200,Server 2,56,1,10,9
201,Server 0,76,1,14,15
201,Server 1,55,1,9,15
201,Server 2,56,1,10,9
202,Server 0,76,1,14,15
202,Server 1,55,1,9,15
202,Server 2,56,1,10,9
203,Server 0,76,1,14,15
203,Server 1,55,1,9,15
203,Server 2,56,1,10,9
204,Server 0,76,1,14,15
204,Server 1,55,1,9,15
204,Server 2,56,1,10,9
205,Server 0,41,1,6,9
205,Server 1,55,1,9,15
205,Server 2,56,1,10,9
206,Server 0,41,1,6,9
206,Server 1,55,1,9,15
206,Server 2,56,1,10,9
207,Server 0,41,1,6,9
207,Server 1,55,1,9,15
207,Server 2,55,1,12,15
208,Server 0,41,1,6,9
208,Server 1,55,1,9,15
208,Server 2,55,1,12,15
209,Server 0,41,1,6,9
209,Server 1,55,1,9,15
209,Server 2,55,1,12,15
210,Server 0,41,1,6,9
210,Server 1,65,1,12,6
210,Server 2,55,1,12,15
211,Server 0,41,1,6,9
211,Server 1,65,1,12,6
211,Server 2,55,1,12,15
212,Server 0,41,1,6,9
212,Server 1,65,1,12,6
212,Server 2,55,1,12,15
213,Server 0,75,1,10,10
213,Server 1,65,1,12,6
213,Server 2,55,1,12,15
214,Server 0,75,1,10,10
214,Server 1,65,1,12,6
214,Server 2,55,1,12,15
215,Server 0,75,1,10,10
215,Server 1,65,1,12,6
215,Server 2,55,1,12,15
216,Server 0,75,1,10,10
216,Server 1,65,1,12,6
216,Server 2,55,1,12,15
217,Server 0,75,1,10,10
217,Server 1,65,1,12,6
217,Server 2,55,1,12,15
218,Server 0,75,1,10,10
218,Server 1,65,1,12,6
218,Server 2,55,1,12,15
219,Server 0,75,1,10,10
219,Server 1,65,1,12,6
219,Server 2,43,1,7,7
220,Server 0,75,1,10,10
220,Server 1,65,1,12,6
220,Server 2,43,1,7,7
221,Server 0,75,1,10,10
221,Server 1,65,1,12,6
221,Server 2,43,1,7,7
222,Server 0,75,1,10,10
222,Server 1,65,1,12,6
222,Server 2,43,1,7,7
223,Server 0,75,1,10,10
223,Server 1,65,1,12,6
223,Server 2,43,1,7,7
224,Server 0,75,1,10,10
224,Server 1,78,1,14,14
224,Server 2,43,1,7,7
225,Server 0,67,1,9,14
225,Server 1,78,1,14,14
225,Server 2,43,1,7,7
226,Server 0,67,1,9,14
